Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,53984,2339,45868,5777,46,4.33,84.97,5.1,38928341,1387.0,53489,495,0.93
Albania,67690,1277,40453,25960,474,1.89,59.76,3.16,2877800,23521.0,63595,4095,6.44
Algeria,103833,2836,70554,30443,222,2.73,67.95,4.02,43851043,2368.0,102144,1689,1.65
Andorra,9083,91,8154,838,45,1.0,89.77,1.12,77265,117556.0,8586,497,5.79
Angola,18875,436,16347,2092,110,2.31,86.61,2.67,32866268,574.0,18193,682,3.75
Antigua and Barbuda,189,6,156,27,2,3.17,82.54,3.85,97928,1930.0,176,13,7.39
Argentina,1799243,45407,1583465,170371,7264,2.52,88.01,2.87,45195777,39810.0,1722217,77026,4.47
Armenia,164586,2992,152772,8822,351,1.82,92.82,1.96,2963234,55543.0,162131,2455,1.51
Australia,28721,909,25921,1891,13,3.16,90.25,3.51,50919400,564.0,28614,107,0.37
Austria,393778,7082,369218,17478,1267,1.8,93.76,1.92,9006400,43722.0,380722,13056,3.43
Azerbaijan,227273,3009,215268,8996,322,1.32,94.72,1.4,10139175,22415.0,224651,2622,1.17
Bahamas,8032,175,6525,1332,0,2.18,81.24,2.68,393248,20425.0,7969,63,0.79
Bahrain,97607,360,94297,2950,339,0.37,96.61,0.38,1701583,57362.0,95558,2049,2.14
Bangladesh,527632,7906,472437,47289,569,1.5,89.54,1.67,164689383,3204.0,522453,5179,0.99
Barbados,1095,7,493,595,0,0.64,45.02,1.42,287371,3810.0,878,217,24.72
Belarus,225461,1582,209208,14671,1924,0.7,92.79,0.76,9449321,23860.0,212201,13260,6.25
Belgium,678839,20435,0,658404,1630,3.01,0.0,9.68700534759358,23021022,29488.0,664263,14576,2.19
Belize,11580,281,10694,605,51,2.43,92.35,2.63,397621,29123.0,11303,277,2.45
Benin,3413,46,3245,122,0,1.35,95.08,1.42,12123198,282.0,3304,109,3.3
Bhutan,842,1,574,267,0,0.12,68.17,0.17,771612,1091.0,813,29,3.57
Bolivia,187183,9636,143437,34110,1503,5.15,76.63,6.72,11673029,16036.0,173896,13287,7.64
Bosnia and Herzegovina,117011,4411,84650,27950,0,3.77,72.34,5.21,3280815,35665.0,115633,1378,1.19
Botswana,17365,71,13519,3775,0,0.41,77.85,0.53,2351625,7384.0,16050,1315,8.19
Brazil,8488099,209847,7509009,769243,33040,2.47,88.47,2.79,422706534,20080.0,8105790,382309,4.72
Brunei,174,3,168,3,0,1.72,96.55,1.79,437483,398.0,173,1,0.58
Bulgaria,211813,8483,156722,46608,77,4.0,73.99,5.41,6948445,30484.0,208511,3302,1.58
Burkina Faso,9188,102,7391,1695,188,1.11,80.44,1.38,20903278,440.0,8082,1106,13.68
Burma,134318,2955,117663,13700,449,2.2,87.6,2.51,54409800,2469.0,130604,3714,2.84
Burundi,1236,2,773,461,51,0.16,62.54,0.26,11890781,104.0,986,250,25.35
Cabo Verde,12993,119,12219,655,92,0.92,94.04,0.97,555988,23369.0,12392,601,4.85
Cambodia,439,0,386,53,0,0.0,87.93,0.0,16718971,26.0,391,48,12.28
Cameroon,28010,455,26861,694,0,1.62,95.9,1.69,26545864,1055.0,26848,1162,4.33
Canada,713181,18024,621857,73300,6284,2.53,87.19,2.9,75750184,9415.0,664606,48575,7.31
Central African Republic,4973,63,4885,25,0,1.27,98.23,1.29,4829764,1030.0,4973,0,0.0
Chad,2895,111,2130,654,40,3.83,73.58,5.21,16425859,176.0,2537,358,14.11
Chile,669832,17477,626528,25827,4339,2.61,93.54,2.79,36692988,18255.0,641923,27909,4.35
China,97939,4797,91205,1937,164,4.9,93.12,5.26,-2147483648,-46.0,96824,1115,1.15
Colombia,1908413,48631,1729633,130149,17379,2.55,90.63,2.81,99141018,19249.0,1786900,121513,6.8
Comoros,1592,45,1075,472,15,2.83,67.53,4.19,869595,1831.0,1150,442,38.43
Congo (Brazzaville),7709,114,5846,1749,0,1.48,75.83,1.95,89561403,86.0,7127,582,8.17
Congo (Kinshasa),20908,631,14807,5470,215,3.02,70.82,4.26,5518087,3789.0,19436,1472,7.57
Costa Rica,184187,2416,141374,40397,0,1.31,76.76,1.71,5094114,36157.0,177614,6573,3.7
Cote d'Ivoire,25241,141,23331,1769,385,0.56,92.43,0.6,26378274,957.0,23750,1491,6.28
Croatia,224954,4616,216280,4058,379,2.05,96.14,2.13,4105268,54796.0,219993,4961,2.26
Cuba,18151,170,13543,4438,650,0.94,74.61,1.26,11326616,1603.0,14576,3575,24.53
Cyprus,28968,170,2057,26741,157,0.59,7.1,8.26,1207361,23993.0,27350,1618,5.92
Czechia,889159,14338,726409,148412,5253,1.61,81.7,1.97,10708981,83029.0,831165,57994,6.98
Denmark,189767,1776,169049,18942,889,0.94,89.08,1.05,5897840,32176.0,182161,7606,4.18
Diamond Princess,712,13,699,0,0,1.83,98.17,1.86,0,16824.301587301587,712,0,0.0
